,index,AT_load_actual_entsoe_power_statistics,AT_load_actual_entsoe_transparency,AT_price_day_ahead,AT_solar_generation_actual,AT_wind_onshore_generation_actual,AT_windspeed_10m,AT_temperature,AT_radiation_direct_horizontal,AT_radiation_diffuse_horizontal
6890,94595,7869.0,6788.0,40.0,271.0,175.0,1.91,7.817,158.6044,225.2655
6891,94596,7589.0,6604.0,37.0,280.0,47.0,1.65,8.726,206.4474,210.1604
6892,94597,7470.0,6487.0,36.0,259.0,16.0,1.45,9.239,194.7327,191.0216
6893,94598,7437.0,6392.0,36.0,212.0,13.0,1.34,9.298,142.0924,166.13
6894,94599,7547.0,6421.0,38.0,143.0,6.0,1.34,8.886,69.3693,127.0158
6895,94600,7909.0,6610.0,43.0,69.0,8.0,1.14,7.668,14.819,61.5798
6896,94601,8248.0,6901.0,49.0,23.0,10.0,1.49,5.416,0.3223,3.7296
6897,94602,7896.0,6733.0,51.0,1.0,13.0,1.77,4.385,0.0,0.0
6898,94603,7374.0,6329.0,45.0,0.0,21.0,1.89,3.73,0.0,0.0
6899,94604,6881.0,5878.0,39.0,0.0,31.0,1.94,3.237,0.0,0.0
6900,94605,6792.0,5847.0,37.0,0.0,51.0,1.94,2.887,0.0,0.0
6901,94606,6305.0,5538.0,32.0,0.0,62.0,1.87,2.738,0.0,0.0
6902,94607,5921.0,5190.0,31.0,0.0,58.0,1.82,2.692,0.0,0.0
6903,94608,5639.0,4898.0,29.0,0.0,32.0,1.77,2.674,0.0,0.0
6904,94609,5557.0,4779.0,27.0,0.0,56.0,1.69,2.621,0.0,0.0
6905,94610,5397.0,4588.0,26.0,0.0,104.0,1.62,2.646,0.0,0.0
6906,94611,5454.0,4567.0,26.0,0.0,67.0,1.55,2.733,0.0,0.0
6907,94612,5632.0,4707.0,27.0,0.0,51.0,1.51,2.652,0.0,0.0
6908,94613,5960.0,4983.0,27.0,0.0,72.0,1.45,2.624,0.0,0.0
6909,94614,6390.0,5363.0,28.0,11.0,104.0,1.39,2.645,0.0418,1.4465
6910,94615,6803.0,5706.0,31.0,39.0,84.0,1.4,3.348,2.1563,38.2854
6911,94616,7191.0,6010.0,34.0,92.0,48.0,1.39,4.711,12.6531,108.2678
6912,94617,7484.0,6280.0,35.0,152.0,51.0,1.45,6.44,42.7839,179.3639
6913,94618,7553.0,6442.0,35.0,205.0,37.0,1.63,8.019,93.1759,223.6451
